,Racedate,HorseNo,HorseName,HorseName_cn,Jockey,Jockey_cn,ActWeight,HorseWeight,Draw,Trainer,Total,Class,Distance,Venue,Course,Going,RaceTime,RestDays,Freq,Gear,HorseScore
0,2025/10/26,1,BRAVEHEARTS,愛心神駒,M F Poon,潘明輝,135,1112,2,M Newnham,10,Class 3,2000,Sha Tin,"Turf, ""A"" Course",Good,16:15,22,2,PP,78
1,2025/10/26,2,GENTLEMEN LEGACY,君子傳承,Z Purton,潘頓,135,1182,4,A S Cruz,10,Class 3,2000,Sha Tin,"Turf, ""A"" Course",Good,16:15,22,1,PP,78
2,2025/10/26,3,ROMANTIC THOR,浪漫戰神,K Teetan,田泰安,135,1094,7,C S Shum,10,Class 3,2000,Sha Tin,"Turf, ""A"" Course",Good,16:15,252,0,PP,78
3,2025/10/26,4,SNOWFIELD,飛雪神駒,C Y Ho,何澤堯,131,1122,12,M Newnham,10,Class 3,2000,Sha Tin,"Turf, ""A"" Course",Good,16:15,28,2,PP,74
4,2025/10/26,5,ENTHRALLED,安可,H Bowman,布文,129,1072,3,J Size,10,Class 3,2000,Sha Tin,"Turf, ""A"" Course",Good,16:15,22,1,PP,72
5,2025/10/26,6,AESTHETICISM,唯美主義,C L Chau,周俊樂 (-2),127,1053,6,P C Ng,10,Class 3,2000,Sha Tin,"Turf, ""A"" Course",Good,16:15,22,2,PPG,70
6,2025/10/26,7,WINNING WING,天將龍駒,H T Mo,巫顯東 (-2),127,1165,11,K W Lui,10,Class 3,2000,Sha Tin,"Turf, ""A"" Course",Good,16:15,28,1,PP,70
7,2025/10/26,8,MONEY CATCHER,發財先鋒,K C Leung,梁家俊,124,1129,1,F C Lor,10,Class 3,2000,Sha Tin,"Turf, ""A"" Course",Good,16:15,22,1,PP,67
8,2025/10/26,9,AGENDA,清雲龍駒,R Kingscote,金誠剛,123,1120,8,D J Hall,10,Class 3,2000,Sha Tin,"Turf, ""A"" Course",Good,16:15,120,0,PP,66
9,2025/10/26,10,MIGHTY STRENGTH,勁大威猛,E C W Wong,黃智弘 (-5),123,1004,9,P F Yiu,10,Class 3,2000,Sha Tin,"Turf, ""A"" Course",Good,16:15,22,1,PPG,66
10,2025/10/26,11,S J TOURBILLON,三江飛輪,P N Wong,黃寶妮 (-7),123,1114,5,C H Yip,10,Class 3,2000,Sha Tin,"Turf, ""A"" Course",Good,16:15,11,4,PP,66
11,2025/10/26,12,KING OF SELECTION,揀馬之皇,A Badel,巴度,121,1021,13,W K Mo,10,Class 3,2000,Sha Tin,"Turf, ""A"" Course",Good,16:15,22,1,PP,64
12,2025/10/26,13,WITHALLMYFAITH,魅力知耀,M L Yeung,楊明綸,119,1214,10,D A Hayes,10,Class 3,2000,Sha Tin,"Turf, ""A"" Course",Good,16:15,11,4,PP,62
